cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
04021,"""Pinal, (AZ)""",382.8,139.6 - 425.3 (645),10.7,33.1,24.8
04023,"""Santa Cruz, (AZ)""",387.2,139.6 - 425.3 (645),7.7,23.3,18.2
04025,"""Yavapai, (AZ)""",407.5,139.6 - 425.3 (645),7.4,23.1,20.1
04027,"""Yuma, (AZ)""",388.1,139.6 - 425.3 (645),11.8,31.4,27.5
05001,"""Arkansas, (AR)""",716,604.6 - 949.9 (643),11,32,34.6
05003,"""Ashley, (AR)""",728.9,604.6 - 949.9 (643),12.8,42.9,39.2
05005,"""Baxter, (AR)""",527.7,477.2 - 529.3 (644),12.1,35.7,32.5
05007,"""Benton, (AR)""",480.5,477.2 - 529.3 (644),8.8,30.8,26
05009,"""Boone, (AR)""",521.5,477.2 - 529.3 (644),11.8,38.7,33
05011,"""Bradley, (AR)""",775.9,604.6 - 949.9 (643),11.7,42.5,36
05013,"""Calhoun, (AR)""",595.7,529.4 - 604.5 (642),12,37,31.8
05015,"""Carroll, (AR)""",517.1,477.2 - 529.3 (644),11.2,34.5,31.2
05017,"""Chicot, (AR)""",764.7,604.6 - 949.9 (643),12.4,44.2,31.9
05019,"""Clark, (AR)""",586.9,529.4 - 604.5 (642),10.4,34.6,34.9
05021,"""Clay, (AR)""",703.7,604.6 - 949.9 (643),11.2,35.8,33.6
05023,"""Cleburne, (AR)""",613,604.6 - 949.9 (643),9.8,34.9,42.1
05025,"""Cleveland, (AR)""",589.5,529.4 - 604.5 (642),11.6,35.7,31.7
05027,"""Columbia, (AR)""",650.6,604.6 - 949.9 (643),12.1,34.5,35.2
05029,"""Conway, (AR)""",564.3,529.4 - 604.5 (642),12.4,38.4,32.3
05031,"""Craighead, (AR)""",614.5,604.6 - 949.9 (643),12.7,35.6,33.3
05033,"""Crawford, (AR)""",657.6,604.6 - 949.9 (643),10.7,33.9,28.7
05035,"""Crittenden, (AR)""",676.3,604.6 - 949.9 (643),14.2,40.4,36.1
05037,"""Cross, (AR)""",622.1,604.6 - 949.9 (643),12.1,39.9,37.4
05039,"""Dallas, (AR)""",570.5,529.4 - 604.5 (642),12.4,39.3,34.9
05041,"""Desha, (AR)""",908.1,604.6 - 949.9 (643),13.4,39.5,33.8
05043,"""Drew, (AR)""",561.4,529.4 - 604.5 (642),12.6,37.1,33.7
05045,"""Faulkner, (AR)""",525.7,477.2 - 529.3 (644),11.7,33.1,31.5
05047,"""Franklin, (AR)""",615.3,604.6 - 949.9 (643),12.5,32.8,34.7
05049,"""Fulton, (AR)""",675,604.6 - 949.9 (643),12.4,31.6,29.3
05051,"""Garland, (AR)""",529.1,477.2 - 529.3 (644),10.7,31,32.7
05053,"""Grant, (AR)""",548.6,529.4 - 604.5 (642),11,39.4,32.9
05055,"""Greene, (AR)""",678.1,604.6 - 949.9 (643),13.5,33.3,36.2
05057,"""Hempstead, (AR)""",723.2,604.6 - 949.9 (643),11,38.7,36.8
05059,"""Hot Spring, (AR)""",550.9,529.4 - 604.5 (642),11.4,35.4,33.7
05061,"""Howard, (AR)""",668.7,604.6 - 949.9 (643),12.5,35.2,32.7
05063,"""Independence, (AR)""",613.5,604.6 - 949.9 (643),11.4,36.8,30.4
05065,"""Izard, (AR)""",551.4,529.4 - 604.5 (642),13.1,34.6,32.3
05067,"""Jackson, (AR)""",655.4,604.6 - 949.9 (643),11.2,34.5,37.3
05069,"""Jefferson, (AR)""",692,604.6 - 949.9 (643),15.4,42.2,32.8
